hdop,satellites,vibration_x,gps_trust_score,action_taken,scenario
3.15,6,0.417,0.3,SWITCH_TO_NON_GPS,Poor_GPS
1.34,6,0.218,0.5025,SWITCH_TO_NON_GPS,Good_GPS
2.55,9,0.427,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.63,10,0.517,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
0.65,11,0.17,0.795,CAUTION,Good_GPS
2.35,19,0.749,0.59,CAUTION,Medium_GPS
2.36,16,0.117,0.68,CAUTION,Medium_GPS
2.38,9,0.095,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
2.12,21,0.464,0.675,CAUTION,Medium_GPS
0.74,10,0.734,0.705,CAUTION,Good_GPS
1.43,16,0.084,0.77,CAUTION,Good_GPS
3.41,15,0.306,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
3.4,6,0.287,0.3,SWITCH_TO_NON_GPS,Poor_GPS
3.16,18,0.476,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.87,20,0.427,0.765,CAUTION,Medium_GPS
3.06,11,0.182,0.48,SWITCH_TO_NON_GPS,Poor_GPS
3.49,17,0.585,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
1.45,19,0.194,0.77,CAUTION,Good_GPS
3.36,20,0.28,0.5625,CAUTION,Poor_GPS
2.8,12,0.026,0.5925,CAUTION,Poor_GPS
0.98,20,0.166,0.8725,GPS_OK,Good_GPS
1.36,7,0.283,0.5725,CAUTION,Good_GPS
2.56,6,0.296,0.4125,SWITCH_TO_NON_GPS,Poor_GPS
0.96,17,0.221,0.7975,CAUTION,Good_GPS
1.82,10,0.638,0.5925,CAUTION,Medium_GPS
2.69,14,0.227,0.5525,CAUTION,Poor_GPS
1.39,19,0.372,0.73,CAUTION,Good_GPS
2.77,7,0.148,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
2.88,10,0.718,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
0.8,14,0.22,0.71,CAUTION,Good_GPS
2.73,13,0.084,0.5925,CAUTION,Poor_GPS
3.02,16,0.312,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
0.5,9,0.356,0.685,CAUTION,Good_GPS
1.26,17,0.647,0.68,CAUTION,Good_GPS
0.7,19,0.217,0.8425,CAUTION,Good_GPS
2.67,14,0.356,0.5525,CAUTION,Poor_GPS
0.97,14,0.336,0.71,CAUTION,Good_GPS
2.52,16,0.022,0.68,CAUTION,Poor_GPS
1.83,13,0.637,0.5925,CAUTION,Medium_GPS
2.01,7,0.143,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
2.85,10,0.476,0.5525,CAUTION,Poor_GPS
2.65,8,0.702,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
2.91,18,0.119,0.68,CAUTION,Poor_GPS
3.13,12,0.402,0.44,SWITCH_TO_NON_GPS,Poor_GPS
0.94,21,0.479,0.8325,CAUTION,Good_GPS
1.47,19,0.132,0.77,CAUTION,Good_GPS
0.85,18,0.374,0.7975,CAUTION,Good_GPS
2.9,17,0.348,0.64,CAUTION,Poor_GPS
0.75,20,0.263,0.8775,GPS_OK,Excellent_GPS
1.16,19,0.178,0.8375,CAUTION,Good_GPS
2.0,18,0.636,0.59,CAUTION,Medium_GPS
3.2,18,0.325,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
2.25,11,0.05,0.5925,CAUTION,Medium_GPS
1.96,14,0.112,0.6825,CAUTION,Medium_GPS
2.22,16,0.401,0.64,CAUTION,Medium_GPS
0.93,21,0.152,0.8725,GPS_OK,Good_GPS
2.49,7,0.205,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
2.08,18,0.522,0.59,CAUTION,Medium_GPS
0.52,6,0.239,0.615,CAUTION,Good_GPS
2.98,13,0.417,0.5525,CAUTION,Poor_GPS
3.49,20,0.249,0.5625,CAUTION,Poor_GPS
1.53,7,0.1,0.6125,CAUTION,Medium_GPS
1.02,16,0.379,0.7975,CAUTION,Good_GPS
2.79,22,0.072,0.715,CAUTION,Poor_GPS
0.75,17,0.539,0.7925,CAUTION,Good_GPS
0.65,14,0.442,0.755,CAUTION,Good_GPS
1.04,19,0.144,0.8375,CAUTION,Good_GPS
1.91,15,0.585,0.68,CAUTION,Medium_GPS
3.26,21,0.402,0.5625,CAUTION,Poor_GPS
0.96,14,0.096,0.75,CAUTION,Good_GPS
2.51,8,0.074,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
2.26,22,0.383,0.675,CAUTION,Medium_GPS
2.67,13,0.109,0.5925,CAUTION,Poor_GPS
1.71,15,0.193,0.77,CAUTION,Medium_GPS
1.27,8,0.317,0.5725,CAUTION,Good_GPS
1.44,13,0.31,0.6425,CAUTION,Good_GPS
1.0,18,0.116,0.8375,CAUTION,Good_GPS
1.52,13,0.257,0.6425,CAUTION,Medium_GPS
2.1,13,0.302,0.5525,CAUTION,Medium_GPS
1.86,14,0.147,0.6825,CAUTION,Medium_GPS
0.67,12,0.133,0.795,CAUTION,Good_GPS
3.26,7,0.307,0.37,SWITCH_TO_NON_GPS,Poor_GPS
3.47,17,0.09,0.5675,CAUTION,Poor_GPS
2.27,8,0.125,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
2.27,15,0.073,0.68,CAUTION,Medium_GPS
2.33,15,0.143,0.68,CAUTION,Medium_GPS
2.85,10,0.119,0.5925,CAUTION,Poor_GPS
1.1,7,0.625,0.59,CAUTION,Good_GPS
0.86,12,0.292,0.71,CAUTION,Good_GPS
3.46,12,0.764,0.39,SWITCH_TO_NON_GPS,Poor_GPS
3.4,18,0.671,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
3.36,13,0.068,0.48,SWITCH_TO_NON_GPS,Poor_GPS
2.38,21,0.469,0.675,CAUTION,Medium_GPS
1.48,22,0.048,0.805,CAUTION,Good_GPS
2.56,13,0.588,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
1.02,20,0.178,0.8725,GPS_OK,Good_GPS
2.76,10,0.866,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
2.76,21,0.061,0.715,CAUTION,Poor_GPS
2.32,20,0.365,0.675,CAUTION,Medium_GPS
2.59,22,0.571,0.625,CAUTION,Poor_GPS
0.98,17,0.309,0.7975,CAUTION,Good_GPS
0.67,19,0.023,0.8825,GPS_OK,Good_GPS
1.25,14,0.466,0.6425,CAUTION,Good_GPS
1.06,22,0.336,0.8325,CAUTION,Good_GPS
1.89,20,0.244,0.765,CAUTION,Medium_GPS
2.91,14,0.423,0.5525,CAUTION,Poor_GPS
1.7,19,0.6,0.68,CAUTION,Medium_GPS
1.03,7,0.079,0.68,CAUTION,Good_GPS
2.69,15,0.55,0.59,CAUTION,Poor_GPS
2.13,18,0.278,0.64,CAUTION,Medium_GPS
2.98,8,0.158,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
3.46,15,0.339,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
2.69,14,0.669,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
0.54,16,0.289,0.8425,CAUTION,Good_GPS
0.85,7,0.438,0.64,CAUTION,Good_GPS
3.05,6,0.724,0.25,SWITCH_TO_NON_GPS,Poor_GPS
0.96,10,0.245,0.71,CAUTION,Good_GPS
3.39,7,0.223,0.37,SWITCH_TO_NON_GPS,Poor_GPS
2.4,21,0.297,0.675,CAUTION,Medium_GPS
2.29,12,0.363,0.5525,CAUTION,Medium_GPS
2.19,13,0.201,0.5525,CAUTION,Medium_GPS
1.88,10,0.118,0.6825,CAUTION,Medium_GPS
0.51,10,0.407,0.755,CAUTION,Good_GPS
0.93,17,0.023,0.8375,CAUTION,Good_GPS
1.46,16,0.599,0.68,CAUTION,Good_GPS
1.4,11,0.123,0.6825,CAUTION,Good_GPS
0.77,18,0.196,0.8825,GPS_OK,Good_GPS
3.2,21,0.379,0.5625,CAUTION,Poor_GPS
0.94,22,0.595,0.7825,CAUTION,Good_GPS
0.86,13,0.635,0.66,CAUTION,Good_GPS
2.99,15,0.372,0.64,CAUTION,Poor_GPS
0.82,7,0.045,0.68,CAUTION,Good_GPS
2.26,11,0.505,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
3.37,19,0.048,0.5675,CAUTION,Poor_GPS
1.31,20,0.377,0.765,CAUTION,Good_GPS
2.73,8,0.218,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.06,14,0.157,0.5925,CAUTION,Medium_GPS
1.12,18,0.38,0.7975,CAUTION,Good_GPS
2.73,21,0.115,0.715,CAUTION,Poor_GPS
1.94,10,0.325,0.6425,CAUTION,Medium_GPS
3.25,10,0.062,0.48,SWITCH_TO_NON_GPS,Poor_GPS
0.6,6,0.675,0.565,CAUTION,Good_GPS
2.38,21,0.045,0.715,CAUTION,Medium_GPS
0.71,6,0.877,0.565,CAUTION,Good_GPS
2.09,17,0.171,0.68,CAUTION,Medium_GPS
0.98,6,0.711,0.52,SWITCH_TO_NON_GPS,Good_GPS
1.25,19,0.354,0.73,CAUTION,Good_GPS
2.78,12,0.459,0.5525,CAUTION,Poor_GPS
1.26,14,0.683,0.5925,CAUTION,Good_GPS
1.06,11,1.035,0.61,CAUTION,Good_GPS
3.02,13,0.631,0.39,SWITCH_TO_NON_GPS,Poor_GPS
1.73,22,0.14,0.805,CAUTION,Medium_GPS
1.11,16,0.469,0.7975,CAUTION,Good_GPS
2.96,9,0.022,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
2.54,7,0.35,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.63,11,0.21,0.5525,CAUTION,Poor_GPS
2.79,18,0.287,0.64,CAUTION,Poor_GPS
1.48,9,0.014,0.6125,CAUTION,Good_GPS
0.64,22,0.378,0.8775,GPS_OK,Excellent_GPS
1.39,12,0.327,0.6425,CAUTION,Good_GPS
1.66,20,0.305,0.765,CAUTION,Medium_GPS
2.04,8,0.767,0.4325,SWITCH_TO_NON_GPS,Medium_GPS
1.01,11,0.268,0.71,CAUTION,Good_GPS
2.24,22,0.14,0.715,CAUTION,Medium_GPS
0.66,18,0.084,0.8825,GPS_OK,Good_GPS
1.22,11,0.382,0.6425,CAUTION,Good_GPS
2.72,18,0.552,0.59,CAUTION,Poor_GPS
2.14,12,0.365,0.5525,CAUTION,Medium_GPS
3.31,20,0.503,0.5125,SWITCH_TO_NON_GPS,Poor_GPS
0.57,10,0.32,0.755,CAUTION,Good_GPS
1.05,21,0.587,0.7825,CAUTION,Good_GPS
1.36,20,0.269,0.765,CAUTION,Good_GPS
3.38,7,0.227,0.37,SWITCH_TO_NON_GPS,Poor_GPS
1.28,11,0.515,0.5925,CAUTION,Good_GPS
3.12,22,0.079,0.6025,CAUTION,Poor_GPS
1.77,15,0.201,0.73,CAUTION,Medium_GPS
2.44,21,0.26,0.675,CAUTION,Medium_GPS
2.73,7,0.12,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
1.03,7,0.348,0.64,CAUTION,Good_GPS
0.95,7,0.079,0.68,CAUTION,Good_GPS
2.23,10,0.503,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
2.89,20,0.496,0.675,CAUTION,Poor_GPS
2.86,13,0.39,0.5525,CAUTION,Poor_GPS
2.99,7,0.684,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
1.45,11,0.279,0.6425,CAUTION,Good_GPS
1.2,10,0.227,0.6425,CAUTION,Good_GPS
0.61,17,0.462,0.8425,CAUTION,Good_GPS
1.3,13,0.275,0.6425,CAUTION,Good_GPS
3.27,18,0.53,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
2.81,20,0.35,0.675,CAUTION,Poor_GPS
3.35,6,0.581,0.25,SWITCH_TO_NON_GPS,Poor_GPS
0.82,12,0.361,0.71,CAUTION,Good_GPS
2.36,14,0.328,0.5525,CAUTION,Medium_GPS
1.37,10,0.085,0.6825,CAUTION,Good_GPS
1.36,17,0.533,0.68,CAUTION,Good_GPS
2.56,10,0.79,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
2.17,16,0.371,0.64,CAUTION,Medium_GPS
2.58,20,0.078,0.715,CAUTION,Poor_GPS
1.12,17,0.163,0.8375,CAUTION,Good_GPS
3.29,16,0.019,0.5675,CAUTION,Poor_GPS
2.65,9,0.457,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
0.7,15,0.406,0.8425,CAUTION,Good_GPS
1.38,18,0.414,0.73,CAUTION,Good_GPS
2.11,8,0.572,0.4325,SWITCH_TO_NON_GPS,Medium_GPS
3.12,21,0.037,0.6025,CAUTION,Poor_GPS
2.9,19,0.597,0.59,CAUTION,Poor_GPS
3.04,22,0.287,0.5625,CAUTION,Poor_GPS
1.9,14,0.461,0.6425,CAUTION,Medium_GPS
1.52,6,0.365,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.6,13,0.598,0.5925,CAUTION,Medium_GPS
3.28,9,0.133,0.41,SWITCH_TO_NON_GPS,Poor_GPS
1.22,8,0.314,0.5725,CAUTION,Good_GPS
1.15,17,0.307,0.7975,CAUTION,Good_GPS
3.43,12,0.416,0.44,SWITCH_TO_NON_GPS,Poor_GPS
2.49,19,0.313,0.64,CAUTION,Medium_GPS
2.98,17,0.028,0.68,CAUTION,Poor_GPS
1.49,10,0.313,0.6425,CAUTION,Good_GPS
1.9,6,0.342,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.93,15,0.557,0.68,CAUTION,Medium_GPS
1.77,14,0.522,0.5925,CAUTION,Medium_GPS
1.63,10,0.546,0.5925,CAUTION,Medium_GPS
1.86,22,0.237,0.765,CAUTION,Medium_GPS
3.38,7,0.57,0.32,SWITCH_TO_NON_GPS,Poor_GPS
2.46,19,0.338,0.64,CAUTION,Medium_GPS
2.79,10,0.054,0.5925,CAUTION,Poor_GPS
1.43,14,0.112,0.6825,CAUTION,Good_GPS
2.48,18,0.169,0.68,CAUTION,Medium_GPS
3.49,21,0.203,0.5625,CAUTION,Poor_GPS
2.87,9,0.113,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
1.09,17,0.12,0.8375,CAUTION,Good_GPS
1.46,16,0.207,0.73,CAUTION,Good_GPS
1.18,21,0.133,0.8725,GPS_OK,Good_GPS
2.51,21,0.384,0.675,CAUTION,Poor_GPS
2.77,9,0.555,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
2.29,16,0.241,0.64,CAUTION,Medium_GPS
1.69,6,0.107,0.5425,SWITCH_TO_NON_GPS,Medium_GPS
3.12,6,0.267,0.3,SWITCH_TO_NON_GPS,Poor_GPS
0.67,16,0.61,0.7925,CAUTION,Good_GPS
0.98,15,0.525,0.7475,CAUTION,Good_GPS
3.29,17,0.597,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
3.08,13,0.339,0.44,SWITCH_TO_NON_GPS,Poor_GPS
2.54,20,0.31,0.675,CAUTION,Poor_GPS
2.13,7,0.333,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
0.79,14,0.289,0.755,CAUTION,Good_GPS
1.94,9,0.372,0.5725,CAUTION,Medium_GPS
3.47,13,0.587,0.39,SWITCH_TO_NON_GPS,Poor_GPS
2.63,6,0.337,0.4125,SWITCH_TO_NON_GPS,Poor_GPS
1.92,8,0.267,0.5725,CAUTION,Medium_GPS
2.52,9,0.382,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
1.72,10,0.084,0.6825,CAUTION,Medium_GPS
0.57,22,1.08,0.7775,CAUTION,Excellent_GPS
3.25,17,0.603,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
1.17,9,0.474,0.64,CAUTION,Good_GPS
1.77,21,0.248,0.765,CAUTION,Medium_GPS
1.28,22,0.322,0.765,CAUTION,Good_GPS
2.82,6,0.279,0.4125,SWITCH_TO_NON_GPS,Poor_GPS
2.56,8,0.115,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
3.42,12,0.071,0.48,SWITCH_TO_NON_GPS,Poor_GPS
1.67,21,0.457,0.765,CAUTION,Medium_GPS
1.83,18,0.354,0.73,CAUTION,Medium_GPS
2.08,9,0.078,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
1.64,17,0.003,0.77,CAUTION,Medium_GPS
2.47,21,0.208,0.675,CAUTION,Medium_GPS
0.95,17,0.268,0.7975,CAUTION,Good_GPS
2.35,8,0.218,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
0.57,16,0.372,0.8425,CAUTION,Good_GPS
1.84,16,0.033,0.77,CAUTION,Medium_GPS
2.54,7,0.561,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
1.94,21,0.309,0.765,CAUTION,Medium_GPS
2.62,20,0.531,0.625,CAUTION,Poor_GPS
2.4,8,0.112,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
2.62,21,0.314,0.675,CAUTION,Poor_GPS
3.02,15,0.118,0.5675,CAUTION,Poor_GPS
2.78,9,0.035,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
2.0,22,0.06,0.715,CAUTION,Medium_GPS
3.32,13,0.159,0.48,SWITCH_TO_NON_GPS,Poor_GPS
2.3,17,0.69,0.59,CAUTION,Medium_GPS
3.14,20,0.149,0.6025,CAUTION,Poor_GPS
1.71,17,0.471,0.73,CAUTION,Medium_GPS
1.56,13,0.411,0.6425,CAUTION,Medium_GPS
2.48,14,0.195,0.5925,CAUTION,Medium_GPS
0.97,20,0.166,0.8725,GPS_OK,Good_GPS
2.69,6,0.123,0.4525,SWITCH_TO_NON_GPS,Poor_GPS
0.87,8,0.027,0.68,CAUTION,Good_GPS
2.24,9,0.495,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
1.39,22,0.529,0.715,CAUTION,Good_GPS
2.0,12,0.266,0.5525,CAUTION,Medium_GPS
0.62,16,0.069,0.8825,GPS_OK,Good_GPS
2.82,13,0.216,0.5525,CAUTION,Poor_GPS
2.49,16,0.536,0.59,CAUTION,Medium_GPS
0.62,16,0.213,0.8425,CAUTION,Good_GPS
1.44,15,0.193,0.77,CAUTION,Good_GPS
0.97,20,0.243,0.8325,CAUTION,Good_GPS
0.99,11,0.152,0.75,CAUTION,Good_GPS
2.44,18,0.606,0.59,CAUTION,Medium_GPS
1.31,10,0.372,0.6425,CAUTION,Good_GPS
2.8,20,0.242,0.675,CAUTION,Poor_GPS
0.92,22,0.337,0.8325,CAUTION,Good_GPS
1.28,21,0.329,0.765,CAUTION,Good_GPS
2.77,14,0.779,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
0.53,16,0.627,0.7925,CAUTION,Good_GPS
2.06,12,0.294,0.5525,CAUTION,Medium_GPS
2.45,22,0.177,0.715,CAUTION,Medium_GPS
2.03,7,0.456,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
2.12,16,0.43,0.64,CAUTION,Medium_GPS
3.31,7,0.083,0.41,SWITCH_TO_NON_GPS,Poor_GPS
0.87,14,0.101,0.75,CAUTION,Good_GPS
3.45,11,0.14,0.48,SWITCH_TO_NON_GPS,Poor_GPS
3.1,13,0.053,0.48,SWITCH_TO_NON_GPS,Poor_GPS
0.91,16,0.365,0.7975,CAUTION,Good_GPS
2.3,20,0.207,0.675,CAUTION,Medium_GPS
0.64,14,0.241,0.755,CAUTION,Good_GPS
0.56,18,0.207,0.8425,CAUTION,Good_GPS
1.85,18,0.4,0.73,CAUTION,Medium_GPS
2.8,15,0.005,0.68,CAUTION,Poor_GPS
2.92,7,0.622,0.4325,SWITCH_TO_NON_GPS,Poor_GPS
3.34,14,0.633,0.39,SWITCH_TO_NON_GPS,Poor_GPS
1.83,13,0.495,0.6425,CAUTION,Medium_GPS
3.46,15,0.695,0.4775,SWITCH_TO_NON_GPS,Poor_GPS
2.38,6,0.273,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
2.65,17,0.383,0.64,CAUTION,Poor_GPS
2.36,15,0.128,0.68,CAUTION,Medium_GPS
2.56,6,0.042,0.4525,SWITCH_TO_NON_GPS,Poor_GPS
0.74,7,0.467,0.685,CAUTION,Good_GPS
2.24,19,0.28,0.64,CAUTION,Medium_GPS
1.48,17,0.515,0.68,CAUTION,Good_GPS
3.41,14,0.596,0.39,SWITCH_TO_NON_GPS,Poor_GPS
2.07,17,0.333,0.64,CAUTION,Medium_GPS
1.44,9,0.055,0.6125,CAUTION,Good_GPS
1.76,8,0.276,0.5725,CAUTION,Medium_GPS
0.84,6,0.333,0.57,CAUTION,Good_GPS
1.29,6,0.039,0.5425,SWITCH_TO_NON_GPS,Good_GPS
2.58,8,0.133,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
2.31,6,0.343,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
1.98,14,0.449,0.6425,CAUTION,Medium_GPS
2.7,7,0.42,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
2.58,8,0.161,0.5225,SWITCH_TO_NON_GPS,Poor_GPS
0.96,8,0.433,0.64,CAUTION,Good_GPS
2.16,17,0.731,0.59,CAUTION,Medium_GPS
2.15,12,0.026,0.5925,CAUTION,Medium_GPS
1.2,21,0.344,0.765,CAUTION,Good_GPS
1.45,8,0.111,0.6125,CAUTION,Good_GPS
2.98,11,0.289,0.5525,CAUTION,Poor_GPS
1.33,20,0.826,0.715,CAUTION,Good_GPS
3.24,22,0.078,0.6025,CAUTION,Poor_GPS
0.68,6,0.406,0.615,CAUTION,Good_GPS
2.11,12,0.186,0.5925,CAUTION,Medium_GPS
0.89,19,0.534,0.7475,CAUTION,Good_GPS
0.78,19,0.409,0.8425,CAUTION,Good_GPS
0.66,9,0.307,0.685,CAUTION,Good_GPS
1.93,18,0.145,0.77,CAUTION,Medium_GPS
1.31,8,0.416,0.5725,CAUTION,Good_GPS
2.88,13,0.16,0.5925,CAUTION,Poor_GPS
3.04,17,0.153,0.5675,CAUTION,Poor_GPS
1.85,18,0.285,0.73,CAUTION,Medium_GPS
1.56,15,0.47,0.73,CAUTION,Medium_GPS
3.41,19,0.121,0.5675,CAUTION,Poor_GPS
3.16,20,0.303,0.5625,CAUTION,Poor_GPS
2.79,6,0.56,0.3625,SWITCH_TO_NON_GPS,Poor_GPS
0.69,16,0.089,0.8825,GPS_OK,Good_GPS
2.44,9,0.442,0.4825,SWITCH_TO_NON_GPS,Medium_GPS
1.57,18,0.473,0.73,CAUTION,Medium_GPS
1.3,18,0.08,0.77,CAUTION,Good_GPS
3.46,16,0.098,0.5675,CAUTION,Poor_GPS
2.74,22,0.56,0.625,CAUTION,Poor_GPS
2.4,6,0.168,0.4525,SWITCH_TO_NON_GPS,Medium_GPS
1.6,16,0.576,0.68,CAUTION,Medium_GPS
1.38,15,0.416,0.73,CAUTION,Good_GPS
3.05,16,0.235,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
3.06,6,0.186,0.34,SWITCH_TO_NON_GPS,Poor_GPS
0.83,14,0.558,0.66,CAUTION,Good_GPS
3.49,8,0.696,0.32,SWITCH_TO_NON_GPS,Poor_GPS
3.19,6,0.345,0.3,SWITCH_TO_NON_GPS,Poor_GPS
1.1,16,0.362,0.7975,CAUTION,Good_GPS
2.15,11,0.124,0.5925,CAUTION,Medium_GPS
1.58,9,0.462,0.5725,CAUTION,Medium_GPS
2.33,6,0.678,0.3625,SWITCH_TO_NON_GPS,Medium_GPS
2.95,20,0.572,0.625,CAUTION,Poor_GPS
0.74,16,0.453,0.8425,CAUTION,Good_GPS
0.66,11,0.187,0.795,CAUTION,Good_GPS
2.84,16,0.316,0.64,CAUTION,Poor_GPS
3.13,17,0.193,0.5675,CAUTION,Poor_GPS
1.57,12,0.148,0.6825,CAUTION,Medium_GPS
2.3,19,0.088,0.68,CAUTION,Medium_GPS
2.74,15,0.437,0.64,CAUTION,Poor_GPS
1.37,12,0.511,0.5925,CAUTION,Good_GPS
1.06,20,0.701,0.7825,CAUTION,Good_GPS
2.32,12,0.512,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.31,8,0.357,0.5725,CAUTION,Good_GPS
2.77,10,0.141,0.5925,CAUTION,Poor_GPS
1.02,15,0.399,0.7975,CAUTION,Good_GPS
2.78,22,0.264,0.675,CAUTION,Poor_GPS
1.59,14,0.066,0.6825,CAUTION,Medium_GPS
1.59,6,0.374,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
1.21,9,0.444,0.5725,CAUTION,Good_GPS
0.6,19,0.06,0.8825,GPS_OK,Good_GPS
0.51,8,0.041,0.725,CAUTION,Good_GPS
1.36,21,0.104,0.805,CAUTION,Good_GPS
1.14,17,0.562,0.7475,CAUTION,Good_GPS
3.29,8,0.035,0.41,SWITCH_TO_NON_GPS,Poor_GPS
2.56,18,0.241,0.64,CAUTION,Poor_GPS
1.94,21,0.571,0.715,CAUTION,Medium_GPS
2.02,17,0.555,0.59,CAUTION,Medium_GPS
2.48,21,0.247,0.675,CAUTION,Medium_GPS
1.05,10,0.548,0.66,CAUTION,Good_GPS
3.3,10,0.359,0.44,SWITCH_TO_NON_GPS,Poor_GPS
2.9,11,0.804,0.5025,SWITCH_TO_NON_GPS,Poor_GPS
1.37,9,0.395,0.5725,CAUTION,Good_GPS
1.14,16,0.016,0.8375,CAUTION,Good_GPS
2.79,16,0.079,0.68,CAUTION,Poor_GPS
0.78,21,0.502,0.8275,CAUTION,Excellent_GPS
0.77,8,0.322,0.685,CAUTION,Good_GPS
3.44,10,0.039,0.48,SWITCH_TO_NON_GPS,Poor_GPS
0.76,6,0.082,0.655,CAUTION,Good_GPS
3.14,13,0.381,0.44,SWITCH_TO_NON_GPS,Poor_GPS
1.73,21,0.171,0.805,CAUTION,Medium_GPS
0.86,6,0.309,0.57,CAUTION,Good_GPS
0.81,18,0.695,0.7475,CAUTION,Good_GPS
1.34,8,0.108,0.6125,CAUTION,Good_GPS
2.08,6,0.005,0.4525,SWITCH_TO_NON_GPS,Medium_GPS
3.28,20,0.437,0.5625,CAUTION,Poor_GPS
0.65,19,0.128,0.8825,GPS_OK,Good_GPS
2.17,6,0.312,0.4125,SWITCH_TO_NON_GPS,Medium_GPS
2.25,11,0.301,0.5525,CAUTION,Medium_GPS
0.75,6,0.471,0.615,CAUTION,Good_GPS
3.11,6,0.905,0.25,SWITCH_TO_NON_GPS,Poor_GPS
2.92,6,0.064,0.4525,SWITCH_TO_NON_GPS,Poor_GPS
2.42,19,0.348,0.64,CAUTION,Medium_GPS
0.68,6,0.456,0.615,CAUTION,Good_GPS
1.94,22,0.481,0.765,CAUTION,Medium_GPS
0.66,18,0.252,0.8425,CAUTION,Good_GPS
1.1,21,0.375,0.8325,CAUTION,Good_GPS
1.46,8,0.183,0.6125,CAUTION,Good_GPS
1.56,10,0.036,0.6825,CAUTION,Medium_GPS
0.94,17,0.142,0.8375,CAUTION,Good_GPS
2.49,9,0.1,0.5225,SWITCH_TO_NON_GPS,Medium_GPS
2.54,13,0.03,0.5925,CAUTION,Poor_GPS
2.09,15,0.207,0.64,CAUTION,Medium_GPS
0.91,22,0.327,0.8325,CAUTION,Good_GPS
1.75,22,0.602,0.715,CAUTION,Medium_GPS
2.27,17,0.703,0.59,CAUTION,Medium_GPS
0.95,9,0.544,0.59,CAUTION,Good_GPS
1.83,13,0.085,0.6825,CAUTION,Medium_GPS
1.1,15,0.125,0.8375,CAUTION,Good_GPS
2.83,9,0.286,0.4825,SWITCH_TO_NON_GPS,Poor_GPS
3.2,18,0.261,0.5275,SWITCH_TO_NON_GPS,Poor_GPS
1.01,6,0.312,0.57,CAUTION,Good_GPS
2.48,10,0.592,0.5025,SWITCH_TO_NON_GPS,Medium_GPS
0.65,13,0.025,0.795,CAUTION,Good_GPS
3.18,20,0.473,0.5625,CAUTION,Poor_GPS
0.96,21,0.092,0.8725,GPS_OK,Good_GPS
2.18,22,0.473,0.675,CAUTION,Medium_GPS
2.15,7,0.538,0.4325,SWITCH_TO_NON_GPS,Medium_GPS
